---[Начало работы]----
Прикет -> Придет
каг -> как
делв -> дело
---[Конец работы]-----
Прикет -> Придет
каг -> как
делв -> дело
Прикет -> Придет
каг -> как
делв -> дело
Прикет -> Придет
делв -> дело
Прикет -> Придет
делв -> дело
Конец работы синтаксического анализатора над текстом.
Прикет -> Придет
каг -> как
делв -> дело
Прикет -> Придет
каг -> как
делв -> дело
каг -> как
каг -> как
делашь -> делать
правла -> правда
жто -> что
хочеца -> хочешь
геншин -> женщин
спрашиваеш -> спрашивает
ничиго -> ничего
паделаеш -> поделаешь
лисной -> личной
распускаюца -> распускают
Xnj -> Что
pf -> за
lbdysq -> дивный
ltym -> день
посматри -> посмотри
rрасота -> красота
